className,totalReviewedCommits,normalizedCommitExp,gold
nu,821,37.79926335174954,1.0
nu,821,37.79926335174954,1.0
nu,789,36.32596685082873,1.0
nu,733,33.74769797421731,-1.0
nu,733,33.74769797421731,1.0
nu,733,33.74769797421731,1.0
nu,733,33.74769797421731,-1.0
nu,0,0.0,1.0
nu,700,32.22836095764273,1.0
nu,646,29.74217311233886,1.0
nu,646,29.74217311233886,1.0
nu,646,29.74217311233886,-1.0
u,228,0.4429592788312092,1.0
u,171,0.3322194591234069,1.0
u,1559,3.02883120920112,-1.0
u,1457,2.830665216039789,-1.0
u,367,0.713009014609885,-1.0
u,1430,2.778209511967672,-1.0
u,1430,2.778209511967672,1.0
u,1800,3.4970469381411253,-1.0
u,1800,3.4970469381411253,1.0
u,203,0.394389182468138,-1.0
u,500,0.9714019272614236,1.0
u,307,0.5964407833385141,1.0
u,0,0.0,-1.0
u,484,0.9403170655890584,1.0
u,955,9.768821603927986,1.0
u,537,5.493044189852701,-1.0
u,70,0.7160392798690671,-1.0
u,455,4.654255319148936,-1.0
u,919,9.400572831423895,-1.0
u,919,9.400572831423895,-1.0
u,420,4.296235679214402,-1.0
u,916,9.36988543371522,1.0
u,897,9.175531914893616,1.0
u,384,3.927986906710311,1.0
u,372,3.805237315875614,-1.0
u,676,6.914893617021277,-1.0
u,676,6.914893617021277,-1.0
u,528,5.400981996726677,-1.0
u,143,1.4627659574468086,1.0
u,1687,17.256546644844516,-1.0
u,672,6.873977086743044,-1.0
u,644,6.587561374795417,-1.0
u,1509,15.435761047463176,-1.0
u,1507,15.415302782324058,-1.0
u,49,0.4789833822091887,1.0
u,47,0.4594330400782014,-1.0
u,18,0.1759530791788856,-1.0
u,47,0.4594330400782014,1.0
u,47,0.4594330400782014,1.0
u,37,0.3616813294232649,1.0
u,37,0.3616813294232649,-1.0
u,134,1.3098729227761488,-1.0
u,131,1.2805474095796676,1.0
u,112,1.0948191593352885,-1.0
u,49,0.4789833822091887,-1.0
u,1578,15.425219941348974,-1.0
u,42,0.4105571847507331,1.0
u,42,0.4105571847507331,1.0
u,598,5.8455522971652005,1.0
u,246,2.404692082111437,-1.0
u,488,4.7702834799609,-1.0
u,87,0.8504398826979472,-1.0
u,3654,15.291902071563088,-1.0
u,3654,15.291902071563088,-1.0
u,5,0.0209248796819418,-1.0
u,1060,4.436074492571668,-1.0
u,590,2.469135802469136,1.0
u,1089,4.557438794726931,-1.0
u,812,3.398200460347353,-1.0
u,47,0.1966938690102532,1.0
u,809,3.385645532538188,-1.0
u,335,1.4019669386901026,1.0
u,454,1.8999790751203185,1.0
u,3645,15.254237288135592,-1.0
u,3645,15.254237288135592,-1.0
u,92,0.3850177861477296,-1.0
u,153,0.64030131826742,-1.0
u,153,0.64030131826742,-1.0
u,476,1.9920485457208617,-1.0
u,472,1.9753086419753083,-1.0
u,197,0.8244402594685081,-1.0
u,432,1.807909604519774,-1.0
