className,reviewedCommitsFile,normalizedFileExp,gold
nu,3,0.1163692785104732,-1.0
nu,10,0.3878975950349108,-1.0
nu,4,0.1551590380139643,-1.0
nu,68,2.637703646237393,1.0
nu,2,0.0775795190069821,1.0
nu,2,0.0775795190069821,1.0
nu,2,0.0775795190069821,1.0
nu,4,0.1551590380139643,1.0
nu,45,1.7455391776570983,1.0
nu,100,3.878975950349108,1.0
nu,7,0.2715283165244375,1.0
nu,86,3.335919317300233,-1.0
nu,11,0.4266873545384018,1.0
nu,2,0.0775795190069821,-1.0
nu,6,0.2327385570209464,-1.0
nu,6,0.2327385570209464,1.0
nu,6,0.2327385570209464,-1.0
nu,13,0.504266873545384,-1.0
nu,13,0.504266873545384,-1.0
nu,8,0.3103180760279286,1.0
nu,1,0.0329815303430079,1.0
nu,37,1.220316622691293,1.0
nu,29,0.9564643799472295,1.0
nu,5,0.1649076517150395,-1.0
nu,5,0.1649076517150395,1.0
nu,26,0.8575197889182058,1.0
nu,1,0.0329815303430079,1.0
