,c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
475,187475459-5230-u,u,100.0,100.0,0.071428571,1.0,0.5,0.5,0.209203036,1,1,85,1,15,3392,940,0.0,0.0,0.0
476,186148146-5217-u,u,100.0,100.0,0.083333333,1.0,0.416666667,0.416666667,0.0,0,0,85,1,1,3285,936,0.0,0.0,0.0
477,186301259-5217-u,u,42.67125,42.67125,0.00877193,0.0,0.412280702,0.412280702,0.074077853,0,0,0,1,1,2865,830,0.0,0.0,0.0
478,182818341-5200-u,u,92.965,97.7025,0.105263158,0.5,0.526315789,0.526315789,0.159571185,4,1,1668,1,3,3434,949,0.0,0.0,0.0
479,179625669-5180-u,u,100.0,100.0,0.105263158,0.0,0.421052632,0.421052632,0.144481824,16,1,1156,1,14,3383,910,0.0,0.0,0.0
480,178653815-5172-u,u,53.655,75.5,0.4,0.0,0.4,0.4,0.35553739,2,1,85,1,30,3252,923,0.0,0.0,0.0
481,178400941-5170-u,u,83.00923077,83.00923077,0.034482759,1.0,0.448275862,0.448275862,0.006073307,0,0,8,1,2,2949,835,0.0,0.0,0.0
482,174862955-5153-u,u,84.9,100.0,0.636363636,0.0,0.272727273,0.363636364,0.366679399,2,1,1156,1,1,3362,903,0.0,0.0,0.0
483,171047016-5134-u,u,69.926875,69.926875,0.013333333,0.0,0.373333333,0.386666667,0.0,0,0,8,1,106,2941,832,0.0,0.0,0.0
484,171035640-5125-u,u,99.52771739,100.0,0.08,0.0,0.68,0.68,0.0,0,0,799,0,0,3472,949,0.0,0.0,0.0
485,172624483-5125-u,u,95.23295455,95.23295455,0.014084507,0.0,0.577464789,0.591549296,0.525150908,0,0,799,1,46,3472,949,0.0,0.0,0.0
486,167358708-5110-u,u,43.35083333,73.2,0.212121212,0.0,0.434343434,0.444444444,0.144525875,9,1,1668,1,1,3368,934,0.0,0.0,0.0
487,166785851-5097-u,u,85.5375,87.5825,0.033333333,0.5,0.366666667,0.366666667,0.142373699,1,1,1668,1,13,3365,931,0.0,0.0,0.0
488,164603621-5068-u,u,46.605,100.0,0.375,1.0,0.3125,0.3125,0.245328601,0,0,799,1,7,3438,939,0.0,0.0,0.0
489,91500531-5059-u,u,81.42407895,79.68333333,0.229166667,0.0,0.416666667,0.416666667,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
490,163337583-5051-u,u,86.705,90.95857143,0.272727273,0.0,0.272727273,0.272727273,0.421309656,0,0,799,1,44,3432,936,0.0,0.0,0.0
491,162455643-5050-u,u,100.0,100.0,0.090909091,0.0,0.545454545,0.545454545,0.113634025,0,0,799,1,35,3428,935,0.0,0.0,0.0
492,162456066-5050-u,u,100.0,100.0,0.2,0.0,0.2,0.2,0.294753172,0,0,799,1,1,3428,935,0.0,0.0,0.0
493,161784206-5048-u,u,100.0,100.0,0.666666667,0.0,0.333333333,0.444444444,0.0,0,0,85,1,2,3173,889,0.0,0.0,0.0
494,163347472-5035-u,u,100.0,100.0,0.043478261,0.0,0.413043478,0.413043478,0.154819921,0,0,799,1,10,3404,928,0.0,0.0,0.0
495,160816101-5034-u,u,69.78333333,100.0,0.428571429,1.0,0.285714286,0.285714286,0.375836121,3,1,124,1,7,2871,826,0.0,0.0,0.0
496,164542813-5023-u,u,90.84857143,90.84857143,0.02173913,0.5,0.652173913,0.673913043,0.0,0,0,85,0,0,3138,877,0.0,0.0,0.0
498,157933428-5000-u,u,100.0,100.0,0.153846154,0.0,0.384615385,0.461538462,0.0,2,1,124,1,5,2864,823,0.0,0.0,0.0
499,157933624-5000-u,u,100.0,100.0,0.294117647,0.0,0.352941176,0.411764706,0.133070214,2,1,124,1,5,2864,823,0.0,0.0,0.0
500,158119647-5000-u,u,100.0,100.0,0.571428571,1.0,0.428571429,0.571428571,0.0,0,0,8,1,4,2917,822,0.0,0.0,0.0
501,157319824-4997-u,u,95.6952381,100.0,0.928571429,0.0,0.142857143,0.142857143,0.0,4,1,1156,1,1,3286,878,0.0,0.0,0.0
502,157320039-4994-u,u,65.77512821,78.19795455,0.1875,0.5,0.5,0.5,0.324534249,0,0,85,1,4,3088,865,0.0,0.0,0.0
503,159287191-4993-u,u,100.0,100.0,0.081081081,0.5,0.486486486,0.486486486,0.217293644,21,1,1668,1,9,3306,908,0.0,0.0,0.0
504,92332754-4993-u,u,98.66361538,98.66361538,0.017241379,0.0,0.586206897,0.586206897,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
505,154810600-4971-u,u,85.13947368,100.0,0.321428571,0.0,0.321428571,0.321428571,0.103844028,0,0,8,1,5,2902,818,0.0,0.0,0.0
506,154810960-4971-u,u,34.0825,100.0,0.769230769,0.5,0.153846154,0.230769231,0.262737987,0,0,8,1,5,2902,818,0.0,0.0,0.0
507,154811111-4971-u,u,95.8022549,100.0,0.186046512,0.333333333,0.441860465,0.465116279,0.233333333,0,0,8,1,5,2902,818,0.0,0.0,0.0
508,154812301-4971-u,u,46.605,78.245,0.333333333,0.0,0.333333333,0.333333333,0.304635898,0,0,1668,1,5,3291,902,0.0,0.0,0.0
509,154814091-4971-u,u,89.245,89.245,0.047619048,0.0,0.476190476,0.476190476,0.309359217,0,0,1668,1,5,3291,902,0.0,0.0,0.0
510,155102892-4971-u,u,58.12294872,69.785,0.333333333,0.333333333,0.424242424,0.454545455,0.390146006,0,0,1668,1,5,3291,902,0.0,0.0,0.0
511,155102071-4971-u,u,82.91315789,80.59263514,0.71,0.0,0.34,0.36,0.348388366,21,1,1668,1,25,3291,902,0.0,0.0,0.0
512,153965363-4964-u,u,53.29,49.915,0.137254902,0.0,0.31372549,0.31372549,0.0,0,0,1668,0,0,3279,899,0.0,0.0,0.0
513,708478707-2168-u,u,56.25,56.25,0.0625,0.0,0.5625,0.625,0.116666667,0,0,124,1,2,1141,745,0.628541912,0.0,0.0
516,631192895-2124-u,u,100.0,100.0,0.090909091,0.0,0.363636364,0.363636364,0.104463862,3,1,124,1,3,1086,737,0.491026751,0.0,0.0
517,630615552-2122-u,u,83.99,86.34551056,0.023529412,0.0,0.4,0.411764706,0.098519851,1,1,124,1,3,1084,736,0.403834155,0.0,0.0
520,630564575-2122-u,u,92.965,92.965,0.125,1.0,0.25,0.25,0.0,10,1,124,1,6,1084,736,0.0,0.0,0.0
522,632857016-2122-u,u,81.43868421,81.43868421,0.023255814,0.0,0.651162791,0.674418605,0.083223972,1,1,124,1,3,1084,736,0.403834155,0.0,0.0
523,597892825-2090-u,u,100.0,,1.0,0.0,0.272727273,0.272727273,0.038690476,0,0,0,0,0,711,568,0.0,0.0,0.0
524,560458865-2055-u,u,67.53,100.0,0.666666667,0.0,0.222222222,0.222222222,0.320256308,0,0,124,1,1,1036,706,0.0,0.0,0.0
525,560536592-2055-u,u,73.19607143,89.245,0.2,0.0,0.381818182,0.4,0.355409327,0,0,124,1,1,1036,706,0.0,0.0,0.0
529,546391152-2014-u,u,33.27642857,33.27642857,0.020833333,0.0,0.458333333,0.458333333,0.0,0,0,124,0,0,1013,688,0.773986812,0.0,0.0
530,539541759-2012-u,u,73.17,73.17,0.03125,0.5,0.5625,0.5625,0.060833033,0,0,0,0,0,687,547,0.0,0.0,0.0
531,539546371-2012-u,u,68.9825,88.37,0.297297297,0.0,0.405405405,0.405405405,0.128504457,0,0,0,0,0,687,547,0.0,0.0,0.0
532,515456194-1984-u,u,82.815,82.815,0.011764706,0.0,0.447058824,0.505882353,0.0,28,1,124,1,11,996,673,0.726635186,0.0,0.0
533,516373792-1984-u,u,96.27105263,100.0,0.071428571,0.0,0.523809524,0.523809524,0.0,28,1,124,1,11,996,673,0.726635186,0.0,0.0
534,517669360-1984-u,u,100.0,100.0,0.0625,1.0,0.5625,0.5625,0.0,28,1,124,1,11,996,673,0.726635186,0.0,0.0
535,505579579-1973-u,u,100.0,100.0,0.142857143,0.0,0.571428571,0.571428571,0.0,0,0,76,0,0,667,528,0.093474992,0.0,0.0
536,505587895-1973-u,u,76.50153846,76.50153846,0.071428571,0.0,0.357142857,0.357142857,0.0,0,0,76,0,0,667,528,0.093054971,0.0,0.0
537,499726405-1958-u,u,66.1,66.1,0.1,0.0,0.4,0.4,0.150858565,0,0,124,1,1,984,664,0.603773713,0.0,0.0
538,498386134-1948-u,u,92.86583333,92.86583333,0.035714286,0.5,0.535714286,0.535714286,0.0,3,1,124,0,0,974,658,0.741998516,0.0,0.0
540,490402844-1931-u,u,0.0,0.0,0.055555556,0.0,0.277777778,0.277777778,0.322850337,13,1,124,1,7,957,646,0.802378889,0.0,0.0
541,490404648-1931-u,u,79.57576923,79.57576923,0.035714286,0.0,0.607142857,0.678571429,0.191434571,13,1,124,1,7,957,646,0.802378889,0.0,0.0
542,490406218-1931-u,u,65.29590909,65.29590909,0.021276596,0.0,0.446808511,0.468085106,0.0,21,1,124,1,3,957,646,0.626166802,0.0,0.0
543,490407474-1931-u,u,78.81,89.89642857,0.105263158,1.0,0.368421053,0.473684211,0.0,2,1,124,0,0,957,646,0.395091839,0.0,0.0
544,490411444-1931-u,u,71.065,100.0,0.916666667,0.0,0.375,0.375,0.0,8,1,124,1,1,957,646,0.572637127,0.0,0.0
546,490710876-1931-u,u,80.67772727,80.67772727,0.045454545,0.0,0.636363636,0.636363636,0.0,15,1,124,1,1,957,646,0.576401377,0.0,0.0
547,490711501-1931-u,u,67.53,67.53,0.0625,0.0,0.5,0.5,0.0,20,1,124,1,1,957,646,0.706127106,0.0,0.0
548,457440728-1893-u,u,66.04842105,97.00142857,0.347826087,0.0,0.391304348,0.391304348,0.242091013,0,0,76,1,1,643,506,0.320256308,0.0,0.0
549,456836766-1888-u,u,81.62833333,78.245,0.0,0.5,0.583333333,0.583333333,0.093313498,0,0,76,1,3,643,506,0.654790342,0.0,0.0
550,447313059-1882-u,u,8.365,8.365,0.111111111,0.0,0.333333333,0.444444444,0.0,0,0,124,0,0,923,633,0.920136611,0.0,0.0
551,447316487-1882-u,u,76.555,99.265,0.217391304,1.0,0.52173913,0.52173913,0.0,0,0,124,0,0,923,633,0.920136611,0.0,0.0
553,447317643-1882-u,u,100.0,100.0,0.058823529,0.5,0.529411765,0.529411765,0.0,0,0,124,0,0,923,633,0.920136611,0.0,0.0
554,447726982-1882-u,u,46.46107143,46.46107143,0.025641026,0.0,0.435897436,0.461538462,0.0,0,0,124,0,0,923,633,0.920136611,0.0,0.0
555,447727507-1882-u,u,59.745,83.32,0.285714286,0.0,0.285714286,0.428571429,0.0,0,0,124,0,0,923,633,0.0,0.0,0.0
556,447731913-1882-u,u,70.28340909,70.28340909,0.009174312,1.0,0.366972477,0.403669725,0.0,0,0,124,0,0,923,633,0.0,0.0,0.0
557,447733129-1882-u,u,88.905,88.905,0.038461538,0.5,0.5,0.5,0.0,0,0,124,0,0,923,633,0.0,0.0,0.0
558,444540747-1881-u,u,50.665,50.665,0.125,1.0,0.625,0.625,0.100373172,4,1,76,1,4,643,506,1.0,0.0,0.0
559,444540996-1881-u,u,18.94,42.61571429,0.222222222,1.0,0.333333333,0.333333333,0.095702065,4,1,76,1,4,643,506,1.0,0.0,0.0
560,444540412-1881-u,u,64.6769697,53.39,0.3125,0.666666667,0.25,0.25,0.051467138,4,1,76,1,4,643,506,1.0,0.0,0.0
561,445644586-1881-u,u,79.27373563,79.27373563,0.015384615,0.0,0.569230769,0.615384615,0.488480359,4,1,76,1,4,643,506,1.0,0.0,0.0
564,443832649-1877-u,u,0.0,77.905,0.714285714,1.0,0.142857143,0.142857143,0.0,2,1,124,0,0,907,630,0.700706822,0.0,0.0
565,443945841-1877-u,u,90.05058824,90.05058824,0.055555556,1.0,0.5,0.611111111,0.0,6,1,124,1,3,907,630,1.0,0.0,0.0
566,444355110-1877-u,u,84.15181818,84.15181818,0.038461538,0.5,0.461538462,0.461538462,0.0,6,1,124,1,3,907,630,1.0,0.0,0.0
567,444349512-1877-u,u,79.3742637,86.875,0.597701149,0.0,0.32183908,0.32183908,0.055187084,13,1,124,1,7,907,630,0.732934817,0.0,0.0
568,443827910-1875-u,u,89.51692308,89.51692308,0.071428571,0.0,0.428571429,0.5,0.0,0,0,124,0,0,894,629,0.787838597,0.0,0.0
569,443828404-1875-u,u,100.0,100.0,0.095238095,1.0,0.380952381,0.428571429,0.0,0,0,124,0,0,894,629,0.787838597,0.0,0.0
570,479967692-1875-u,u,89.4675,89.4675,0.1,0.5,0.5,0.5,0.102841172,0,0,124,1,1,894,629,0.612173193,0.0,0.0
571,479966051-1875-u,u,96.02461538,96.02461538,0.071428571,0.0,0.642857143,0.642857143,0.204982325,0,0,124,1,1,894,629,0.612173193,0.0,0.0
572,479966545-1875-u,u,57.095,57.095,0.041666667,0.0,0.291666667,0.291666667,0.293249489,0,0,124,1,1,894,629,0.612173193,0.0,0.0
573,487416847-1875-u,u,69.785,69.785,0.083333333,1.0,0.583333333,0.583333333,0.089063068,0,0,124,1,1,894,629,0.612173193,0.0,0.0
574,479966896-1875-u,u,100.0,100.0,0.03030303,0.0,0.454545455,0.454545455,0.137431914,0,0,124,1,1,894,629,0.612173193,0.0,0.0
575,487417051-1875-u,u,76.555,76.555,0.041666667,0.0,0.541666667,0.541666667,0.103548569,0,0,124,1,1,894,629,0.612173193,0.0,0.0
576,488947889-1875-u,u,100.0,100.0,0.071428571,1.0,0.571428571,0.571428571,0.1155121,0,0,124,1,1,894,629,0.612173193,0.0,0.0
577,488949386-1875-u,u,99.52771739,99.52771739,0.037037037,0.5,0.481481481,0.481481481,0.107414101,0,0,124,1,1,894,629,0.612173193,0.0,0.0
578,488952140-1875-u,u,86.4225,86.4225,0.0625,0.5,0.5,0.5,0.117572996,0,0,124,1,1,894,629,0.612173193,0.0,0.0
579,439662657-1860-u,u,71.70251724,76.83828571,0.055555556,0.0,0.444444444,0.468253968,0.372281017,6,1,124,1,2,877,620,1.0,0.0,0.0
580,439662657-1860-u,u,69.34909735,74.49515596,0.055555556,0.0,0.444444444,0.468253968,0.372281017,6,1,124,1,2,877,620,1.0,0.0,0.0
581,428077648-1838-u,u,60.98833333,60.98833333,0.016393443,0.666666667,0.475409836,0.475409836,0.26853584,1,1,124,1,3,854,607,0.60732999,0.0,0.0
582,428079763-1838-u,u,45.645,90.99,0.571428571,1.0,0.142857143,0.142857143,0.302850856,1,1,124,1,3,854,607,0.60732999,0.0,0.0
583,428082003-1838-u,u,94.78197368,94.78197368,0.045454545,0.5,0.5,0.5,0.113641047,1,1,124,1,3,854,607,0.60732999,0.0,0.0
584,428243132-1838-u,u,75.875,75.875,0.2,0.0,0.0,0.0,0.0,1,1,124,1,3,854,607,0.60732999,0.0,0.0
585,420292397-1823-u,u,100.0,100.0,0.055555556,1.0,0.444444444,0.444444444,0.0,7,1,124,0,0,838,597,0.279034556,0.0,0.0
586,420292678-1823-u,u,68.9825,68.9825,0.055555556,0.0,0.555555556,0.555555556,0.0,5,1,124,0,0,838,597,0.190988028,0.0,0.0
587,420294092-1823-u,u,100.0,100.0,0.023255814,0.0,0.558139535,0.558139535,0.0,15,1,124,1,1,838,597,0.434215745,0.0,0.0
588,420296200-1823-u,u,76.54755556,76.54755556,0.011363636,0.0,0.386363636,0.409090909,0.0,15,1,124,1,1,838,597,0.434215745,0.0,0.0
589,420870209-1823-u,u,73.845,73.845,0.142857143,0.0,0.428571429,0.428571429,0.0,4,1,124,0,0,838,597,0.877099294,0.0,0.0
590,420870857-1823-u,u,100.0,100.0,0.0625,0.0,0.3125,0.375,0.0,4,1,124,0,0,838,597,0.877099294,0.0,0.0
591,420871925-1823-u,u,100.0,100.0,0.111111111,0.0,0.555555556,0.555555556,0.0,4,1,124,0,0,838,597,0.877099294,0.0,0.0
592,421859551-1823-u,u,78.30614865,78.30614865,0.025641026,0.0,0.435897436,0.461538462,0.0,10,1,124,1,2,838,597,0.423293382,0.0,0.0
593,426932840-1818-u,u,92.91785714,92.91785714,0.028571429,0.0,0.342857143,0.371428571,0.173600574,6,1,124,1,2,830,593,0.777476139,0.0,0.0
594,426933361-1818-u,u,76.74857143,72.325,0.083333333,0.0,0.541666667,0.541666667,0.0,0,0,124,0,0,830,593,0.0,0.0,0.0
595,416230000-1808-u,u,78.97047619,99.395,0.52173913,0.0,0.239130435,0.304347826,0.0,0,0,76,0,0,600,476,0.276150163,0.0,0.0
596,416230180-1808-u,u,54.725,35.605,0.5,0.0,0.0,0.0,0.0,0,0,76,0,0,600,476,0.276150163,0.0,0.0
597,416233147-1808-u,u,65.78565217,65.78565217,0.019607843,0.5,0.352941176,0.352941176,0.0,2,1,76,1,2,600,476,0.0,0.0,0.0
599,418350274-1808-u,u,62.79,62.79,0.25,0.0,0.0,0.0,0.0,22,1,124,1,2,823,586,0.0,0.0,0.0
