,c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
796,703415104-11506-nu,nu,93.57977273,93.57977273,0.083333333,0.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
797,675948084-11480-nu,nu,56.97846154,56.97846154,0.033333333,0.0,0.4,0.4,0.046700307,8,1,32,1,52,10116,2145,1.0,1.0,1.0
801,846981277-11445-nu,nu,100.0,100.0,0.071428571,0.5,0.428571429,0.428571429,0.0,0,0,8,0,0,10071,2133,0.0,1.0,1.0
805,825172291-11374-nu,nu,100.0,100.0,0.05,0.0,0.5,0.5,0.0,0,0,8,0,0,9906,2118,0.0,1.0,1.0
806,841130974-11374-nu,nu,95.93928571,95.93928571,0.032258065,0.0,0.709677419,0.709677419,0.0,0,0,8,0,0,9906,2118,0.0,0.0,1.0
808,742036753-11244-nu,nu,93.475,93.475,0.045454545,0.0,0.636363636,0.636363636,0.0,0,0,2,0,0,9625,2085,0.0,1.0,1.0
809,772892489-11208-nu,nu,94.995,94.995,0.083333333,1.0,0.416666667,0.416666667,0.0,0,0,1,0,0,9522,2078,0.0,1.0,1.0
812,503269731-11202-nu,nu,86.705,86.705,0.03125,0.0,0.375,0.375,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
813,486859954-11165-nu,nu,61.325,61.325,0.090909091,0.0,0.272727273,0.272727273,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
817,806941598-11162-nu,nu,92.54273256,92.54273256,0.022222222,0.0,0.555555556,0.555555556,0.0,0,0,2,0,0,9255,2066,0.0,1.0,1.0
820,869574178-11118-nu,nu,87.48875,87.48875,0.028571429,0.0,0.542857143,0.542857143,0.0,0,0,1,0,0,9146,2058,0.0,1.0,1.0
821,443049952-11105-nu,nu,95.99916667,95.99916667,0.033333333,0.5,0.433333333,0.433333333,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
825,713475241-11105-nu,nu,50.345,58.65916667,0.12,0.0,0.12,0.2,0.0,0,0,0,0,0,9078,2056,0.0,1.0,1.0
827,444472252-11100-nu,nu,78.81,78.81,0.02,0.333333333,0.36,0.36,0.0,3,1,31,1,46,9371,2075,0.0,1.0,1.0
828,459989574-11100-nu,nu,59.72695783,68.81117647,0.550847458,1.0,0.211864407,0.211864407,0.0,0,0,2,1,44,9078,2056,0.0,1.0,1.0
832,671614552-11100-nu,nu,95.165,95.165,0.083333333,0.0,0.583333333,0.583333333,0.0,0,0,2,0,0,9078,2056,0.0,1.0,1.0
834,380462182-10969-nu,nu,86.939801,86.939801,0.014285714,0.0,0.442857143,0.457142857,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
836,390962921-10960-nu,nu,57.945,82.82961538,0.243243243,0.0,0.324324324,0.324324324,0.125988158,0,0,0,1,27,8990,2041,0.0,1.0,1.0
838,591060657-10929-nu,nu,87.45209459,87.45209459,0.023809524,0.0,0.5,0.5,0.0,0,0,1061,0,0,11270,2388,0.0,1.0,1.0
839,364453138-10929-nu,nu,100.0,100.0,0.083333333,0.0,0.416666667,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
840,725140994-20071-nu,nu,90.95857143,90.95857143,0.0625,0.0,0.5,0.5625,0.0,1,1,140,1,93,16576,6790,0.0,1.0,1.0
841,724003482-20061-nu,nu,89.06382278,89.06382278,0.010869565,0.0,0.25,0.25,0.353189453,11,1,2103,1,48,15336,6577,0.0,-1.0,-1.0
842,939422789-20061-nu,nu,84.9,70.08365385,0.333333333,0.0,0.208333333,0.208333333,0.0,0,0,2103,0,0,15336,6577,0.0,1.0,1.0
845,767853829-20002-nu,nu,100.0,100.0,0.147058824,0.0,0.352941176,0.352941176,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
846,932839054-20000-nu,nu,80.09764706,80.09764706,0.025641026,0.0,0.564102564,0.564102564,0.0,0,0,1712,0,0,15299,6559,0.0,1.0,1.0
847,766985060-20000-nu,nu,76.23421053,76.23421053,0.015873016,0.0,0.555555556,0.571428571,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
850,719451463-20000-nu,nu,46.945,46.945,0.047619048,0.0,0.571428571,0.619047619,0.0,13,1,1712,1,90,15299,6559,0.0,1.0,1.0
851,765760997-19992-nu,nu,92.965,92.965,0.035714286,0.0,0.5,0.535714286,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
852,929875369-19978-nu,nu,78.81,78.81,0.028571429,0.0,0.542857143,0.542857143,0.0,0,0,1712,0,0,15290,6553,0.0,1.0,1.0
855,717126653-19977-nu,nu,80.3325,80.3325,0.035714286,0.0,0.428571429,0.428571429,0.0,6,1,7,1,2,15290,6553,0.0,1.0,1.0
859,929539932-19977-nu,nu,93.70161765,93.70161765,0.05,0.0,0.35,0.4,0.0,0,0,7,0,0,15290,6553,0.0,1.0,1.0
860,931786402-19969-nu,nu,100.0,100.0,0.0625,0.0,0.4375,0.4375,0.0,0,0,1712,0,0,15287,6550,0.0,1.0,1.0
861,930577229-19969-nu,nu,100.0,100.0,0.2,0.0,0.6,0.6,0.0,0,0,189,0,0,15470,6556,0.0,1.0,1.0
863,717033857-19957-nu,nu,90.94270115,91.07631579,0.029411765,0.0,0.485294118,0.5,0.229066908,0,0,140,1,26,16504,6748,0.0,1.0,1.0
865,762212024-19921-nu,nu,81.92228093,84.99108871,0.047619048,0.0,0.514285714,0.523809524,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0
867,924492268-19920-nu,nu,100.0,100.0,0.25,0.0,0.607142857,0.607142857,0.0,0,0,1712,0,0,15250,6527,0.0,1.0,1.0
870,713487904-19911-nu,nu,100.0,100.0,0.021276596,0.25,0.510638298,0.510638298,0.0,2,1,1712,1,1,15244,6522,0.0,-1.0,-1.0
873,924446592-19911-nu,nu,66.1,66.1,0.047619048,0.0,0.476190476,0.476190476,0.0,0,0,1712,0,0,15244,6522,0.0,1.0,1.0
877,923178357-19893-nu,nu,90.935,90.935,0.045454545,0.0,0.318181818,0.318181818,0.0,0,0,7,0,0,15239,6517,0.0,-1.0,-1.0
878,922075250-19884-nu,nu,85.09666667,85.09666667,0.052631579,0.0,0.631578947,0.631578947,0.0,0,0,1712,0,0,15236,6514,0.0,1.0,1.0
879,927189504-19879-nu,nu,100.0,100.0,0.037037037,0.0,0.37037037,0.407407407,0.0,0,0,7,0,0,15234,6512,0.0,1.0,1.0
880,918464694-19863-nu,nu,100.0,100.0,0.333333333,0.0,0.5,0.5,0.0,0,0,7,0,0,15228,6507,0.0,1.0,1.0
881,917112353-19849-nu,nu,54.70142857,54.70142857,0.058823529,0.0,0.352941176,0.352941176,0.0,0,0,0,0,0,15225,6504,0.0,1.0,1.0
888,913246948-19821-nu,nu,98.2904902,98.2904902,0.025641026,0.0,0.512820513,0.512820513,0.0,0,0,7,0,0,15216,6495,0.0,1.0,1.0
889,915239631-19821-nu,nu,83.85357143,83.85357143,0.066666667,0.0,0.533333333,0.533333333,0.0,0,0,1712,0,0,15216,6495,0.0,0.0,-1.0
891,701457202-19818-nu,nu,100.0,100.0,0.142857143,0.0,0.285714286,0.285714286,0.0,0,0,1288,0,0,15216,6495,0.0,-1.0,-1.0
892,700964037-19814-nu,nu,74.00789474,73.73317568,0.043478261,0.5,0.456521739,0.456521739,0.120686071,0,0,1288,0,0,15216,6495,0.0,0.0,-1.0
897,744450672-19805-nu,nu,96.02461538,96.02461538,0.035714286,0.0,0.571428571,0.571428571,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
899,698522645-19781-nu,nu,100.0,100.0,0.125,0.0,0.625,0.625,0.0,1,1,2103,1,3,14896,6479,0.0,1.0,1.0
900,698523879-19781-nu,nu,97.025,97.025,0.25,0.0,0.75,0.75,0.0,1,1,2103,1,39,14896,6479,0.0,1.0,1.0
902,909198447-19781-nu,nu,90.05058824,90.05058824,0.055555556,0.0,0.611111111,0.611111111,0.0,0,0,2103,0,0,14896,6479,0.0,1.0,1.0
903,917633456-19776-nu,nu,77.25975,77.25975,0.011904762,0.0,0.404761905,0.416666667,0.0,0,0,140,0,0,16109,6680,0.0,0.0,-1.0
905,905826520-19754-nu,nu,59.68214286,88.905,0.1,1.0,0.2,0.2,0.0,0,0,1712,0,0,14890,6474,0.0,1.0,1.0
906,905854662-19754-nu,nu,75.89755137,75.89755137,0.012345679,0.0,0.432098765,0.432098765,0.0,0,0,1712,0,0,14890,6474,0.0,1.0,-1.0
909,765699130-19731-nu,nu,88.02545977,88.02545977,0.014705882,0.0,0.441176471,0.441176471,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
910,901694130-19713-nu,nu,98.89,98.89,0.041666667,0.0,0.583333333,0.583333333,0.0,0,0,1288,0,0,14855,6458,0.0,1.0,1.0
912,901948861-19713-nu,nu,65.16823529,71.62625,0.075,0.0,0.475,0.475,0.0,0,0,1212,0,0,14855,6458,0.0,1.0,1.0
918,930421265-19686-nu,nu,95.68818182,95.68818182,0.041666667,0.0,0.458333333,0.458333333,0.0,0,0,1712,0,0,14738,6446,0.0,1.0,1.0
