c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
745784982-80378-u,u,100.0,100.0,0.020408163,0.0,0.612244898,0.632653061,0.045931521,0,0,67,0,0,62992,26124,0.0,-1.0,-1.0
743185460-80375-u,u,48.54857143,48.54857143,0.043478261,0.0,0.565217391,0.565217391,0.0,0,0,260,0,0,62991,26123,0.0,0.0,0.0
743186718-80375-u,u,64.765,64.765,0.038461538,0.0,0.5,0.538461538,0.0,0,0,260,0,0,62991,26123,0.0,0.0,0.0
743190277-80375-u,u,100.0,100.0,0.083333333,0.5,0.25,0.25,0.0,0,0,260,1,2,62991,26123,0.0,0.0,0.0
742997579-80346-u,u,31.545,66.4,0.285714286,1.0,0.285714286,0.285714286,0.166821748,0,0,1422,0,0,62966,26106,0.0,0.0,0.0
742874588-80336-u,u,87.39927419,87.39927419,0.03030303,0.5,0.636363636,0.636363636,0.040451992,0,0,1112,0,0,62961,26102,0.0,0.0,0.0
742860690-80306-u,u,15.64,15.64,0.142857143,1.0,0.142857143,0.142857143,0.4343369,0,0,0,1,8,62942,26092,0.0,0.0,0.0
742474308-80306-u,u,89.08288265,80.18257576,0.596491228,0.0,0.210526316,0.210526316,0.084902691,4,1,3713,1,8,62942,26092,0.0,0.0,0.0
742475634-80306-u,u,76.09547619,80.55393939,0.033333333,0.0,0.35,0.35,0.178613529,4,1,3713,1,8,62942,26092,0.0,0.0,0.0
742888096-80306-u,u,79.5575,89.89642857,0.166666667,0.0,0.555555556,0.555555556,0.275261935,4,1,3713,1,8,62942,26092,0.0,0.0,0.0
742891942-80306-u,u,76.75320122,71.69509804,0.613636364,0.0,0.227272727,0.227272727,0.147467066,4,1,3713,1,8,62942,26092,0.0,0.0,0.0
742903505-80306-u,u,100.0,83.32,0.760869565,0.0,0.108695652,0.108695652,0.047661031,4,1,3713,1,8,62942,26092,0.0,0.0,0.0
743094606-80306-u,u,100.0,100.0,0.222222222,0.0,0.388888889,0.388888889,0.089900172,4,1,3713,1,8,62942,26092,0.0,0.0,0.0
744571505-80286-u,u,100.0,100.0,0.375,0.0,0.5,0.5,0.0,27,1,220,1,31,66887,26676,0.0,0.0,0.0
744573042-80286-u,u,60.705,100.0,0.466666667,1.0,0.4,0.4,0.174077656,27,1,220,1,31,66887,26676,0.0,0.0,0.0
744582191-80286-u,u,84.45,84.45,0.066666667,1.0,0.733333333,0.733333333,0.0,0,0,220,0,0,66887,26676,0.0,0.0,0.0
745169550-80286-u,u,11.42461538,80.30636364,0.294117647,1.0,0.352941176,0.411764706,0.280972137,0,0,884,1,1,62917,26079,0.0,0.0,0.0
745649433-80286-u,u,66.1,87.6775,0.15,1.0,0.6,0.65,0.352513228,1,1,220,1,1,66887,26676,0.0,0.0,0.0
745655373-80286-u,u,50.61,77.81071429,0.117647059,0.0,0.529411765,0.529411765,0.0,27,1,220,1,31,66887,26676,0.0,0.0,0.0
742082585-80282-u,u,86.26022727,94.35866525,0.157894737,0.0,0.421052632,0.421052632,0.053293871,2,1,1204,1,1,62916,26078,0.0,-1.0,-1.0
745765574-80268-u,u,100.0,100.0,0.090909091,0.0,0.454545455,0.454545455,0.054945278,2,1,2154,1,7,62908,26070,0.0,0.0,0.0
742778463-80267-u,u,89.245,90.99,0.9,0.0,0.433333333,0.466666667,0.132453236,0,0,1366,0,0,62908,26070,0.0,0.0,0.0
743616657-80253-u,u,74.52166667,74.52166667,0.055555556,0.666666667,0.5,0.5,0.0,1,1,201,0,0,62900,26064,0.0,0.0,-1.0
743617623-80253-u,u,66.78714286,66.78714286,0.047619048,1.0,0.238095238,0.238095238,0.106600358,2,1,201,1,4,62900,26064,0.0,0.0,0.0
746070913-15604-u,u,53.12,53.12,0.055555556,0.0,0.5,0.5,0.421637021,30,1,580,1,19,5871,3639,0.0,0.0,0.0
725536873-15459-u,u,67.6729932,72.16307692,0.328125,0.333333333,0.390625,0.390625,0.29649984,88,1,580,1,20,5804,3570,0.0,0.0,0.0
720878013-15447-u,u,53.655,69.785,0.166666667,0.0,0.166666667,0.166666667,0.041188436,24,1,580,1,13,5799,3564,0.0,0.0,0.0
720878083-15447-u,u,74.805,66.1,0.105263158,0.0,0.263157895,0.263157895,0.133234678,24,1,580,1,13,5799,3564,0.0,0.0,0.0
710444117-15356-u,u,75.765,75.765,0.024390244,0.0,0.463414634,0.512195122,0.148570807,12,1,283,1,14,5755,3518,0.0,0.0,0.0
711216326-15356-u,u,71.33446429,71.33446429,0.01369863,0.0,0.452054795,0.452054795,0.105055425,12,1,283,1,14,5755,3518,0.0,0.0,0.0
