c_id,className,ReadingEase,ReadingEase(NL),CodeElementRatio,QuestionRatio,StopwordRatio,StopKeyRatio,ConceptualSimilarity,AuthorCommitsFile,CommittedTwice,TotalAuthoredCommits,ReviewingTwice,ReviewedCommitsFile,TotalReviewedCommits,ReviewedPRs,ExtLibSimilarity,sentimoji,gold
751792513-15315-nu,nu,100.0,100.0,0.058823529,0.0,0.117647059,0.117647059,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
905926056-15251-nu,nu,100.0,100.0,0.052631579,0.0,0.526315789,0.526315789,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
740730189-15251-nu,nu,100.0,100.0,0.05,0.0,0.25,0.25,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
697596311-15200-nu,nu,91.78,98.8675,0.166666667,0.0,0.416666667,0.416666667,0.092228595,142,1,580,1,206,5710,3469,0.0,0.0,0.0
697992676-15200-nu,nu,87.99727273,100.0,0.5,0.0,0.428571429,0.428571429,0.131094705,0,0,0,1,206,5710,3469,0.0,0.0,0.0
687070253-15133-nu,nu,79.21217742,79.21217742,0.029411765,0.0,0.411764706,0.411764706,0.509929846,2,1,283,1,12,5692,3450,0.0,0.0,0.0
687072966-15133-nu,nu,100.0,100.0,0.058823529,0.0,0.529411765,0.529411765,0.191176471,2,1,283,1,12,5692,3450,0.0,0.0,0.0
687288876-15133-nu,nu,63.585,66.62214286,0.085714286,0.0,0.4,0.4,0.273002389,24,1,580,1,12,5692,3450,0.0,0.0,0.0
687073999-15133-nu,nu,78.87285714,78.87285714,0.0625,0.5,0.5,0.5,0.372069572,2,1,283,1,12,5692,3450,0.0,0.0,0.0
723616353-15075-nu,nu,87.515,87.515,0.027027027,0.0,0.675675676,0.702702703,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
682938707-15063-nu,nu,63.49666667,63.49666667,0.034482759,0.5,0.620689655,0.620689655,0.22870561,2,1,283,1,12,5644,3392,0.0,0.0,0.0
893028300-15063-nu,nu,80.83214286,80.83214286,0.033333333,0.0,0.466666667,0.466666667,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
905820010-14970-nu,nu,92.21409091,92.21409091,0.04,0.0,0.44,0.44,0.0,0,0,0,0,0,0,0,0.0,0.0,1.0
907534661-14970-nu,nu,95.98284553,100.0,0.137254902,0.0,0.431372549,0.431372549,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
762668291-14935-nu,nu,98.8675,98.8675,0.1,0.0,0.5,0.5,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0
719843342-14935-nu,nu,100.0,100.0,0.058823529,1.0,0.588235294,0.588235294,0.164632575,0,0,580,0,0,5595,3337,0.0,0.0,0.0
